Performer,Song,spotify_genre
Bill Black's Combo,-twistin'-White Silver Sands,[]
Augie Rios,¿Dònde Està Santa Claus? (Where Is Santa Claus?),['novelty']
Andy Williams,......And Roses And Roses,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']"
Sandy Nelson,...And Then There Were Drums,"['rock-and-roll', 'space age pop', 'surf music']"
Britney Spears,...Baby One More Time,"['dance pop', 'pop', 'post-teen pop']"
Taylor Swift,...Ready For It?,"['pop', 'post-teen pop']"
Jay-Z Featuring Beyonce Knowles,'03 Bonnie & Clyde,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
Paul Davis,'65 Love Affair,"['album rock', 'bubblegum pop', 'country rock', 'folk rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']"
"Tragedy, Capone, Infinite",'98 Thug Paradise,['english indie rock']
Big Sister,'Round We Go,[]
Tammy Wynette,'til I Can Make It On My Own,"['country', 'country dawn', 'nashville sound']"
Jonathan Cain,'til It's Time To Say Goodbye,[]
Luther Vandross,'Til My Baby Comes Home,"['funk', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
Keith Urban,'Til Summer Comes Around,"['australian country', 'contemporary country', 'country', 'country road']"
After 7,'Til You Do Me Right,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
The Angels,'Til,"['blues rock', 'garage rock', 'modern blues rock', 'neo-psychedelic', 'nu gaze', 'punk blues']"
Taylor Swift,'Tis The Damn Season,"['pop', 'post-teen pop']"
Young And Restless,"""B"" Girls",[]
Neil Diamond,"""Cherry Cherry"" from Hot August Night","['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']"
The Ovations (Featuring Louis Williams),"""Having A Party"" Medley","['memphis soul', 'southern soul']"
Isaac Hayes,"""Joy"" Pt. I","['classic soul', 'disco', 'funk', 'jazz funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'southern soul']"
Quincy Jones,"""Roots"" Medley","['adult standards', 'disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']"
Duane Eddy His Twangy Guitar And The Rebels,"""Yep!""",
The Everly Brothers,('til) I Kissed You,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']"
Inez & Charlie Foxx,(1-2-3-4-5-6-7) Count The Days,['rif']
Lale Anderson,(A Ship Will Come) Ein Schiff Wird Kommen,[]
The Nitty Gritty Dirt Band,(All I Have To Do Is) Dream,
Mel Carter,(All Of A Sudden) My Heart Sings,[]
Paul Anka,(All of a Sudden) My Heart Sings,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']"
Starz,(Any Way That You Want It) I'll Be There,[]
Shanice Wilson,(Baby Tell Me) Can You Dance,[]
The Olympics,(Baby) Hully Gully,"['doo-wop', 'rhythm and blues']"
The Impressions,(Baby) Turn On To Me,"['brill building pop', 'chicago soul', 'classic soul', 'funk', 'motown', 'quiet storm', 'rhythm and blues', 'soul']"
'Til Tuesday,(Believed You Were) Lucky,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']"
Cutting Crew,(Between A) Rock And A Hard Place,"['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
Maxine Nightingale,(Bringing Out) The Girl In Me,['classic uk pop']
Bobby Moore,(Call Me Your) Anything Man,['classic soul']
Touch,(Call Me) When The Spirit Moves You,"['bubblegum dance', 'europop']"
Nelson,(Can't Live Without Your) Love And Affection,"['classic country pop', 'country', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']"
Jermaine Jackson,(Closest Thing To) Perfect,"['disco', 'funk', 'post-disco', 'quiet storm', 'urban contemporary']"
The Miracles,(Come 'round Here) I'm The One You Need,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'southern soul']"
Alex Brown,(Come On) Shout,[]
Chubby Checker,(Dance The) Mess Around,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll', 'rockabilly']"
Duane Eddy and the Rebelettes,(Dance With The) Guitar Man,[]
The Dovells,(Do The New) Continental,"['brill building pop', 'doo-wop', 'rhythm and blues']"
Nat Kendrick And The Swans,(Do The) Mashed Potatoes (Part 1),[]
Rufus Thomas,(Do The) Push And Pull Part I,"['classic soul', 'funk', 'memphis blues', 'memphis soul', 'rhythm and blues', 'soul', 'southern soul']"
Reel Tight,(Do You) Wanna Ride,[]
Webb Pierce,(Doin' The) Lovers Leap,"['honky tonk', 'rockabilly']"
Blue Oyster Cult,(Don't Fear) The Reaper,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock', 'soft rock']"
Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,"['chicago soul', 'classic soul', 'disco', 'funk', 'soul']"
The Dixiebelles,(Down At) Papa Joe's,
LTD,(Every Time I Turn Around) Back In Love Again,['reggaeton']
Dr. John,(everybody Wanna Get Rich) Rite Away,"['blues', 'blues rock', 'classic rock', 'electric blues', 'folk rock', 'funk', 'jazz blues', 'louisiana blues', 'new orleans blues', 'piano blues', 'psychedelic rock', 'roots rock', 'soul']"
Bryan Adams,(Everything I Do) I Do It For You,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
The Chi-lites,(For God's Sake) Give More Power To The People,"['chicago soul', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
Orchestral Manoeuvres In The Dark,(Forever) Live And Die,"['art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'synthpop']"
Outlaws,(Ghost) Riders In The Sky,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
Ramrods,(Ghost) Riders In The Sky,['classic garage rock']
Eddie Hodges,"(Girls, Girls, Girls) Made To Love",[]
'N Sync,(God Must Have Spent) A Little More Time On You,[]
Connie Francis,(He's My) Dreamboat,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']"
Jay & The Americans,(He's) Raining In My Sunshine,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
The Fleetwoods,(He's) The Great Impostor,"['adult standards', 'brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'vocal harmony group']"
Jan & Dean,(Here They Come) From All Over The World,['christmas instrumental']
B.J. Thomas,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic country pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
