Title,Genre,Birthyear
Šaban_Bajramović,Blues,1936
Šaban_Bajramović,Jazz,1936
Šaban_Bajramović,Romani music,1936
Šarlote_Lēnmane,Europop,1998
Šarlote_Lēnmane,Electropop,1998
Šarlote_Lēnmane,Dance-pop,1998
Žanil_Tataj_-_Žak,Heavy metal music,1967
Žanil_Tataj_-_Žak,Pop music,1967
Žanil_Tataj_-_Žak,Rock music,1967
Žanil_Tataj_-_Žak,Hard rock,1967
Žanil_Tataj_-_Žak,Classical music,1967
Žarko_Jovanović,Romani music,1925
A*M*E,Pop music,1994
A*M*E,Dance-pop,1994
A*M*E,Hip hop soul,1994
A*M*E,Contemporary R&B,1994
A*M*E,Electronic dance music,1994
A-L-X,Electropop,1991
A-Lee,Pop music,1988
A-Lee,Electropop,1988
A-Lee,Dance-pop,1988
A-Lee,Hip hop music,1988
A-Love,Hip hop music,1983
A-Plus_(rapper),Hip hop music,1974
A.B._Quintanilla,Reggae,1963
A.B._Quintanilla,Rhythm and blues,1963
A.B._Quintanilla,Tejano music,1963
A.B._Quintanilla,Cumbia,1963
A.B._Quintanilla,Latin pop,1963
A.C._Reed,Chicago blues,1926
A.C._Reed,Soul blues,1926
A.J._Crew,Hip hop music,1990
A.Y._(musician),Bongo Flava,1981
A.Y._(musician),Hip hop music,1981
A._B._Crentsil,Highlife,1943
A._C._Newman,Indie rock,1968
A._C._Newman,Power pop,1968
A._J._Ghent,Blues,1986
A._J._Ghent,Funk,1986
A._J._Ghent,Soul music,1986
A._J._Ghent,Gospel music,1986
A._J._Ghent,Jam band,1986
A._J._Ghent,Sacred Steel (musical tradition),1986
A._K._Salim,Jazz,1922
A._M._Rajah,Film score,1929
A._Nayyar,Playback singer,1950
A._Rafiq,Dangdut,1948
A._V._Anand,Carnatic music,1936
Amina_Annabi,Pop music,1962
Amina_Claudine_Myers,Gospel music,1942
Amina_Claudine_Myers,Jazz,1942
Aminata_Savadogo,Funk,1993
Aminata_Savadogo,Pop music,1993
Aminata_Savadogo,Soul music,1993
Aminata_Savadogo,Contemporary R&B,1993
Aminata_Savadogo,Electronic music,1993
Amir_El-Falaki,Pop music,1973
Amir_Issaa,Pop-rap,1978
Amir_Issaa,Hip hop music,1978
Amir_Jamal,Pop music,1965
Amir_Jamal,Rock music,1965
Amir_Jamal,Classical music,1965
Amir_Nojan,Persian traditional music,1980
Amit_Erez,Progressive rock,1980
Amit_Erez,Indie rock,1980
Amit_Erez,Alternative rock,1980
Amit_Erez,Folk rock,1980
Amit_Kavthekar,World music,1984
Amit_Kavthekar,Jazz fusion,1984
Amit_Kavthekar,Hindustani classical music,1984
Ammar_Malik,Reggae,1987
Ammar_Malik,Pop rock,1987
Ammar_Malik,Alternative hip hop,1987
Ammiel_Bushakevitz,Classical music,1986
Ammo_(musician),Pop music,1988
Ammo_(musician),Electropop,1988
Ammo_(musician),Pop rock,1988
Ammo_(musician),Contemporary R&B,1988
Ammouri_Mbarek,World music,1951
Ammouri_Mbarek,Folk rock,1951
Ammouri_Mbarek,Soft rock,1951
Amor_Vittone,Afrikaans,1972
Amor_Vittone,Pop music,1972
Amor_Vittone,English language,1972
Amory_Kane,Blues,1946
Amory_Kane,Pop music,1946
Amory_Kane,Rock music,1946
Amos_Garrett,Blues,1941
Amos_Garrett,Rock and roll,1941
Amos_Garrett,Rhythm and blues,1941
Amos_Garrett,Country rock,1941
Amos_Garrett,Jazz,1941
Amr_Mostafa,Arabic pop music,1979
Amr_Mostafa,Music of Egypt,1979
Amr_Mostafa,Franco_Arabic,1979
Amrinder_Gill,Bhangra (music),1976
Amrinder_Gill,Punjabi language,1976
Amrinder_Gill,Romance (love),1976
Amund_Maarud,Blues,1981
Amund_Maarud,Rock music,1981
Amund_Svensson,Black metal,1978
Amund_Svensson,Symphonic black metal,1978
Amund_Svensson,Industrial metal,1978
Amund_Svensson,Electronic music,1978
Amy_Cook,Country music,1979
Amy_Cook,Folk music,1979
Amy_Cook,Americana (music),1979
Amy_Cook,Independent music,1979
Amy_Correia,Folk music,1968
Amy_Correia,Alternative country,1968
Amy_Holland,Pop rock,1954
Amy_Kuney,Pop music,1985
Amy_Kuney,Pop rock,1985
Amy_London,Jazz,1957
Amy_London,Broadway theatre,1957
Amy_Macdonald,Pop music,1987
Amy_Macdonald,Rock music,1987
Amy_Malkoff,Pop-folk,1966
Amy_Malkoff,Acoustic music,1966
Amy_Pearson,Pop music,1985
Amy_Vachal,Blues,1988
Amy_Vachal,Pop music,1988
Amy_Vachal,Indie folk,1988
Amyt_Datta,Blues,1960
Amyt_Datta,Jazz,1960
Amyt_Datta,Experimental music,1960
Américo,Cumbia,1977
Américo,Tropical music,1977
AnNa_R.,Pop music,1969
An_Ye-seul,Contemporary R&B,1995
An_Ye-seul,K-pop,1995
An_Youqi,Mandopop,1982
Ana-Maria_Yanakieva,Pop music,1998
Ana-Maria_Yanakieva,Soul music,1998
Ana-Maria_Yanakieva,Contemporary R&B,1998
Ana_Bebić,Pop music,1986
Ana_Bebić,Pop rock,1986
Ana_Caram,Bossa nova,1958
Ana_Carolina,Folk music,1974
Ana_Carolina,Pop music,1974
Ana_Carolina,Rock music,1974
Ana_Carolina,Samba,1974
Ana_Carolina,Salsa music,1974
Ana_Carolina,Bossa nova,1974
Ana_Carolina,Jazz,1974
Ana_Carolina,Música popular brasileira,1974
Ana_Díaz,World music,1972
Ana_Díaz,Jazz,1972
Ana_Free,Pop music,1987
Ana_Free,Rock music,1987
Ana_Laura,Pop music,1986
Ana_Laura,Contemporary Christian music,1986
Ana_Laura,Christian adult contemporary,1986
Ana_Milenković,Pop music,1980
Ana_Nóbrega,Contemporary Christian music,1980
Ana_Nóbrega,Contemporary worship music,1980
Ana_Nóbrega,Pop rock,1980
Ana_Paula_Valadão,Contemporary Christian music,1976
Ana_Paula_Valadão,Contemporary worship music,1976
Ana_Raquel_Satre,Opera,1925
Ana_Rich,Pop music,1983
Ana_Rich,Pop-folk,1983
Ana_Stanić,Pop music,1975
Ana_Stanić,Rhythm and blues,1975
Ana_Stanić,Pop rock,1975
Ana_Štajdohar,Pop music,1979
Ana_Štajdohar,Dance-pop,1979
Anabel_Englund,House music,1992
Anabel_Englund,Pop rock,1992
Anabel_Englund,Electronic music,1992
Anabela,Pop music,1976
Anabela,Showtunes,1976
Anabela,Fado,1976
Anabela,1990s,1976
Anabela_Atijas,Pop music,1975
Anahit_Tsitsikian,Classical music,1926
Anahí_de_Cárdenas,Pop music,1983
Anahí_de_Cárdenas,Pop rock,1983
Anamika_Choudhari,Pop music,1995
Anamika_Choudhari,Filmi,1995
Anand_Bhate,Hindustani classical music,1971
Anant_Lal,Hindustani classical music,1927
Anastasia_Karpova,Pop music,1984
Anastasia_Karpova,Europop,1984
Anat_Cohen,Post-bop,1975
Anat_Cohen,Jazz,1975
Anca_Parghel,Jazz,1957
Andee,Pop rock,1990
Andee,French pop music,1990
Anders_Glenmark,Pop music,1953
Anders_Glenmark,Rock music,1953
Anders_Göthberg,Indie pop,1975
Anders_Hammer,Death metal,1980
Anders_Hammer,Power metal,1980
Anders_Hana,Electronica,1982
Anders_Hana,Jazz,1982
Anders_Jormin,Jazz,1957
Anders_Kobro,Black metal,1975
Anders_Kobro,Progressive metal,1975
Anders_Lindström,Hard rock,1969
Anders_Lindström,Garage rock,1969
Anders_Lindström,Alternative rock,1969
Anders_Lindström,Power pop,1969
Anders_Lindström,Garage punk,1969
Anders_Ljungqvist,Traditional Nordic dance music,1815
Anders_Manga,Psychedelic rock,1973
Anders_Manga,Gothic rock,1973
Anders_Manga,Dark wave,1973
Anders_Nilsson_(songwriter),Pop music,1980
Anders_Nilsson_(songwriter),Electronic music,1980
Anders_Odden,Black metal,1972
Anders_Odden,Death metal,1972
Anders_Odden,Heavy metal music,1972
Anders_Odden,Ambient music,1972
Anders_Odden,Thrash metal,1972
Anders_Odden,Hard rock,1972
Anders_Odden,Industrial rock,1972
Anders_Odden,Synthpop,1972
Anders_Odden,Electronic body music,1972
Anders_Odden,Doom metal,1972
Anders_Odden,Post-industrial music,1972
Anders_Odden,Electronic rock,1972
Anders_Osborne,Blues,1966
Anders_Osborne,Rock music,1966
Anders_Osborne,Rhythm and blues,1966
Andi_Fraggs,Pop music,1986
Andi_Fraggs,Synthpop,1986
Andi_Fraggs,Electronic music,1986
Andra_(singer),Pop music,1986
Andra_(singer),Rhythm and blues,1986
Andra_(singer),Dance-pop,1986
Andre_Canniere,Jazz,1978
Andre_Deyo,Pop music,1978
Andre_Deyo,Contemporary R&B,1978
Andre_Deyo,Hip hop music,1978
Andre_Deyo,Dance music,1978
Andre_Lindal,Pop music,1977
Andre_Lindal,Contemporary R&B,1977
Andre_Lindal,Hip hop music,1977
Andre_Nickatina,West Coast hip hop,1970
Andre_Nickatina,Hip hop music,1970
Andre_Ryder,Film score,1908
Andre_Thierry,Alternative_Creole,1979
Andrea_(Bulgarian_singer),House music,1987
Andrea_(Bulgarian_singer),Pop music,1987
Andrea_(Bulgarian_singer),Pop-folk,1987
Andrea_(Bulgarian_singer),Dance music,1987
Andrea_Berg,Schlager music,1966
Andrea_Brachfeld,Salsa music,0003
Andrea_Brachfeld,Latin music (genre),0003
Andrea_Brachfeld,Jazz,0003
Andrea_Caccese,Folk music,1988
Andrea_Caccese,Post-rock,1988
Andrea_Caccese,Indie rock,1988
Andrea_Demirović,Pop music,1985
Andrea_Echeverri,Latin pop,1965
Andrea_Echeverri,Rock en español,1965
Andrea_Een,Classical music,1947
Andrea_Faustini,Pop music,1994
Andrea_Faustini,Soul music,1994
Andrea_Faustini,Gospel music,1994
Andrea_Faustini,Contemporary R&B,1994
Andrea_Ferro,Alternative metal,1973
Andrea_Ferro,Gothic metal,1973
Andrea_Helms,Contemporary Christian music,1973
Andrea_Helms,Gospel music,1973
Andrea_Helms,Contemporary worship music,1973
Andrea_Libardi,Contemporary R&B,1981
Andrea_Libardi,Latin pop,1981
Andrea_Martin_(musician),Soul music,1975
Andrea_Martin_(musician),Contemporary R&B,1975
Andrea_Martin_(musician),Electronic dance music,1975
Andrea_Martin_(musician),Adult contemporary music,1975
Andrea_McEwan,Folk music,1978
Andrea_McEwan,Jazz,1978
Andrea_Myrander,Dance-pop,1985
Andrea_Myrander,Eurodance,1985
Andrea_Myrander,Dance music,1985
Andrea_Rydin_Berge,Jazz,1984
Andrea_Tessa,Latin pop,1961
Andrea_Tessa,Jazz,1961
Andrea_Veneracion,Folk music,1928
Andrea_Veneracion,Pop music,1928
Andrea_Veneracion,Choir,1928
Andrea_Veneracion,Classical music,1928
Andrea_Šušnjara,Folk music,1987
Andrea_Šušnjara,Pop music,1987
Andrea_Šušnjara,Classical music,1987
Andreas_Amundsen,Jazz,1980
Andreas_Blomqvist,Heavy metal music,1978
Andreas_Blomqvist,Progressive rock,1978
Andreas_Gabalier,Folk music,1984
Andreas_Kümmert,Rock music,1986
Andreas_Kümmert,Folk rock,1986
Andreas_Kümmert,Blues rock,1986
Andreas_Kümmert,Pop rock,1986
Andreas_Lill,Progressive rock,1965
Andreas_Lill,Progressive metal,1965
Andreas_Loven,Jazz,1981
Andreas_Lønmo_Knudsrød,Jazz,1982
Andreas_Mjøs,Rock music,1976
Andreas_Mjøs,Electronica,1976
Andreas_Mjøs,Jazz,1976
Andreas_Olsson,Power metal,1978
Andreas_Skår_Winther,Jazz,1991
Andreas_Stensland_Løwe,Jazz,1983
Andreas_Ulvo,Jazz,1983
Andreas_Varady,Jazz,1997
Andreas_Varady,Gypsy jazz,1997
Andreas_Weise,Big band,1986
Andreas_Weise,Traditional pop music,1986
Andreas_Weise,Jazz,1986
Andreas_Öberg,Pop music,1978
Andreas_Öberg,Soul music,1978
Andreas_Öberg,Jazz,1978
Andrei_Diev,Classical music,1958
Andrei_Ivanovitch,Classical music,1968
Andrei_Krylov,Art music,1959
Andrej_Aćin,Ambient music,1972
Andrej_Aćin,Gothic rock,1972
Andrej_Aćin,Electronic music,1972
Andrej_Hoteev,Classical music,1946
Andrew_%22Jr._Boy%22_Jones,Electric blues,1948
Andrew_%22Jr._Boy%22_Jones,Texas blues,1948
Andrew_%22Jr._Boy%22_Jones,Soul blues,1948
Andrew_Belle,Singer-Songwriter,1984
Andrew_Canton,Pop music,1992
Andrew_Canton,Rhythm and blues,1992
Andrew_Canton,Hip hop music,1992
Andrew_Carlton,Country music,1977
Andrew_Carlton,Contemporary Christian music,1977
Andrew_Champion,Punk rock,1970
Andrew_Champion,Alternative rock,1970
Andrew_Cheshire,Jazz,1962
Andrew_Choi,Rhythm and blues,1980
Andrew_Choi,K-pop,1980
Andrew_Choi,Dance music,1980
Andrew_Chou,Hip hop music,1990
Andrew_Chou,Electronic music,1990
Andrew_Combs_(musician),Country music,1986
Andrew_Combs_(musician),Folk music,1986
Andrew_Dawson_(record_producer),Pop music,1980
Andrew_Dawson_(record_producer),Rock music,1980
Andrew_Dawson_(record_producer),Indie rock,1980
Andrew_Dawson_(record_producer),Indie pop,1980
Andrew_Dawson_(record_producer),Hip hop,1980
Andrew_Diamond,Reggae,1969
Andrew_Dost,Indie pop,1983
Andrew_Duffield_(musician),Alternative rock,1958
Andrew_Duffield_(musician),Electronic music,1958
Andrew_Durant_(musician),Country rock,1955
Andrew_F,Pop rock,1990
Andrew_Findon,Folk music,1956
Andrew_Findon,Pop music,1956
Andrew_Findon,Big band,1956
Andrew_Findon,Musical theatre,1956
Andrew_Findon,Classical music,1956
Andrew_Findon,Dance music,1956
Andrew_Goldstein_(musician),Pop music,1986
Andrew_Goldstein_(musician),Alternative rock,1986
Andrew_Goldstein_(musician),Pop punk,1986
Andrew_Goldstein_(musician),Dance-pop,1986
Andrew_Goldstein_(musician),Pop rock,1986
Andrew_Greer,Folk music,1982
Andrew_Greer,Folk rock,1982
Andrew_Greer,Americana (music),1982
Andrew_Howie,Alternative rock,1974
Andrew_Howie,Experimental rock,1974
Andrew_Howie,Electronic music,1974
Andrew_Howie,Singer-songwriter,1974
Andrew_Jenkins,Country music,1895
Andrew_Jenkins,Folk music,1895
Andrew_Jenkins,Gospel music,1895
Andrew_Kahn,Disco,1952
Andrew_Kahn,Jazz,1952
Andrew_Kahn,Great American Songbook,1952
Andrew_Lauder_(music_executive),Pop music,1948
Andrew_Lauder_(music_executive),Hard rock,1948
Andrew_Lauder_(music_executive),Pub rock (United Kingdom),1948
Andrew_Lauder_(music_executive),Krautrock,1948
Andrew_Liles,Hard rock,1969
Andrew_Louper,Instrumental,1973
Andrew_Louper,Production music,1973
Andrew_Louper,Music library,1973
Andrew_Marston,Progressive house,1981
Andrew_Marston,Electronic dance music,1981
Andrew_Martin_(musician),Pop music,1978
Andrew_Martin_(musician),Synthpop,1978
Andrew_Martin_(musician),Electronic music,1978
Andrew_Martin_(musician),Electronic dance music,1978
Andrew_Mikhail,Metalcore,1988
Andrew_Mikhail,Symphonic metal,1988
Andrew_Mikhail,Deathcore,1988
Andrew_Moore_(musician),Ambient music,1979
Andrew_Moore_(musician),Electronica,1979
Andrew_Moore_(musician),Electronic music,1979
Andrew_Moore_(musician),Sampling (music),1979
Andrew_Odom,Chicago blues,1936
Andrew_Odom,Electric blues,1936
Andrew_Odom,Soul blues,1936
Andrew_Pendlebury,Country music,1952
Andrew_Pendlebury,Rhythm and blues,1952
Andrew_Pendlebury,Southern gospel,1952
Andrew_Pendlebury,Post-punk,1952
Andrew_Rayel,Trance music,1992
Andrew_Ripp,Pop rock,1982
Andrew_Ripp,Acoustic music,1982
Andrew_Rodriguez_(singer-songwriter),Rock music,1971
Andrew_Scott_(Canadian_musician),Folk rock,1979
Andrew_Scott_(Canadian_musician),Alternative country,1979
Andrew_Scott_(Canadian_musician),Indie folk,1979
Andrew_Skeet,Baroque pop,1969
Andrew_Skeet,Electronic music,1969
Andrew_Skeet,Film score,1969
Andrew_Skeet,Video game music,1969
Andrew_Spence,Rock music,1983
Andrew_Spence,Progressive rock,1983
Andrew_Stricko,Rock music,1988
Andrew_Stricko,Alternative rock,1988
Andrew_Stricko,Pop punk,1988
Andrew_Stricko,Pop rock,1988
Andrew_Stricko,Dance-rock,1988
Andrew_Strong,Blues,1973
Andrew_Strong,Soul music,1973
Andrew_Strong,Pop rock,1973
Andrew_Tibbs,Electric blues,1929
Andrew_Tierney,Boy band,1974
Andrew_Tierney,Pop music,1974
Andrew_Tierney,Adult contemporary music,1974
Andrew_Tolman,Art rock,1986
Andrew_Tolman,Alternative rock,1986
Andrew_Tosh,Reggae,1967
Andrew_Vowles,Trip hop,1967
Andrew_Vowles,Electronica,1967
Andrew_W.K.,Punk rock,1979
Andrew_W.K.,Hard rock,1979
Andrew_W.K.,Alternative rock,1979
Andrew_W.K.,Pop punk,1979
Andrew_W.K.,Alternative metal,1979
Andrew_W.K.,Experimental music,1979
Andrew_W.K.,Party-metal,1979
Andrew_White_(musician),Alternative rock,1974
Andrew_White_(saxophonist),Hard bop,1942
Andrew_White_(saxophonist),Jazz,1942
Andrew_White_(saxophonist),Avant-garde music,1942
Andrew_Winton,Blues,1972
Andrew_Winton,Folk music,1972
Andrew_Winton,Bluegrass music,1972
Andrew_Winton,Gospel music,1972
Andrew_Winton,Alternative rock,1972
Andrew_de_Torres,Folk music,1985
Andrew_de_Torres,Pop music,1985
Andrew_de_Torres,Country pop,1985
Andrew_de_Torres,Acoustic music,1985
Andria_Busic,Heavy metal music,1965
Andria_Busic,Progressive rock,1965
Andria_Busic,Hard rock,1965
Andriana_Babali,Pop music,1976
Andriana_Babali,Indie pop,1976
Andriani_Marshanda,Pop music,1989
Andriani_Marshanda,Contemporary R&B,1989
Andrius_Mamontovas,Rock music,1967
Andrius_Mamontovas,Alternative rock,1967
Andrius_Mamontovas,Pop rock,1967
Andrius_Pojavis,Pop music,1983
Andru_Bemis,Folk music,1978
Andru_Bemis,Singer-songwriter,1978
Andru_Branch,Reggae,1968
Andru_Branch,World music,1968
Andrzej_Kozakiewicz,Alternative rock,1966
Andrzej_Lampert,Soft rock,1981
Andrzej_Lampert,Opera,1981
Andrzej_Lampert,Classical music,1981
Andrzej_Przybielski,Jazz,1944
Andrzej_Zaucha_(singer),Pop music,1949
Andrzej_Zaucha_(singer),Jazz,1949
André_Almuró,Electronic music,1927
André_Almuró,Musique concrète,1927
André_Almuró,Electroacoustic music,1927
André_Almuró,Classical music,1927
André_Almuró,Acousmatic music,1927
André_Ceccarelli,Rock music,1946
André_Ceccarelli,Jazz,1946
André_Duchesne_(musician),Contemporary classical music,1949
André_Duchesne_(musician),Experimental music,1949
André_Filho,Samba,1906
André_Geraissati,Jazz,1951
André_Jung,Rock music,1961
André_Linman,Heavy metal music,1992
André_Linman,Hard rock,1992
André_Moraes,Soundtrack,1977
André_Roligheten,Jazz,1985
André_Stordeur,Electronic music,1941
André_Stordeur,Electroacoustic music,1941
André_Stordeur,Acousmatic music,1941
André_Valadão,Contemporary Christian music,1979
André_Valadão,Contemporary worship music,1979
André_Valadão,Pop rock,1979
Andrée_Watters,Pop-rock_and_Country-rock,1983
Andrés_Bucci,Electronica,1975
Andrés_Suárez,Ballad,1983
Andrés_Suárez,Jazz,1983
Andy_Allo,Funk,1989
Andy_Allo,Rhythm and blues,1989
Andy_Allo,Neo soul,1989
Andy_Bennett_(musician),Pop music,1985
Andy_Bennett_(musician),Brit_rock,1985
Andy_Bey,Jazz,1939
Andy_Biersack,Heavy metal music,1990
Andy_Biersack,Hard rock,1990
Andy_Biersack,Glam metal,1990
Andy_Biersack,Metalcore,1990
Andy_Blueman,Uplifting trance,1982
Andy_Blueman,Film score,1982
